Title,Description,BiocViews,DataType,Species,Genome,SourceUrl,SourceVersion,RDataPath,RDataClass,Tags,BiocVersion,SourceType,TaxonomyId,Coordinate_1_based,DataProvider,Maintainer,DispatchClass
Random Forest Model for Pan-Cancer Tumor Classification,Random Forest model that classifies a methylation sample into pan-cancer labels.,"MachineLearning, RandomForest",Model,NA,NA,https://bioconductor.org/packages/devel/bioc/html/cytomethic.html,NA,CytoMethIC/models/rfc_TCGA_cancertype33.rda,list,"classification, RandomForest",3.18,RDA,NA,TRUE,Jacob Fanale,Jacob Fanale fanalej@chop.edu,Rda
Support Vector Machine Model for Pan-Cancer Tumor Classification,SVM model that classifies a methylation sample into pan-cancer labels.,"MachineLearning, SVM",Model,NA,NA,https://bioconductor.org/packages/devel/bioc/html/cytomethic.html,NA,CytoMethIC/models/svm_TCGA_cancertype33.rda,list,"classification, SVM",3.18,RDA,NA,TRUE,Jacob Fanale,Jacob Fanale fanalej@chop.edu,Rda
XGBoost Model for Pan-Cancer Tumor Classification,XGBoost model that classifies a methylation sample into pan-cancer labels.,"MachineLearning, XGBoost",Model,NA,NA,https://bioconductor.org/packages/devel/bioc/html/cytomethic.html,NA,CytoMethIC/models/xgb_TCGA_cancertype33.rda,list,"classification, XGBoost",3.18,RDA,NA,TRUE,Jacob Fanale,Jacob Fanale fanalej@chop.edu,Rda
Multilayer Perceptron Model for Pan-Cancer Tumor Classification,MLP model that classifies a methylation sample into pan-cancer labels.,"MachineLearning, MLP",Model,NA,NA,https://bioconductor.org/packages/devel/bioc/html/cytomethic.html,NA,CytoMethIC/models/mlp_TCGA_cancertype33.rda,list,"classification, MLP",3.18,RDA,NA,TRUE,Jacob Fanale,Jacob Fanale fanalej@chop.edu,Rda
Random Forest Model for CNS Tumor Classification,Random Forest model that classifies a methylation sample into CNS tumor labels.,"MachineLearning, RandomForest",Model,NA,NA,https://bioconductor.org/packages/devel/bioc/html/cytomethic.html,NA,CytoMethIC/models/rfc_Capper_CNSTumor66.rda,list,"classification, RandomForest",3.18,RDA,NA,TRUE,Jacob Fanale,Jacob Fanale fanalej@chop.edu,Rda
Support Vector Machine Model for CNS Tumor Classification,SVM model that classifies a methylation sample into CNS tumor labels.,"MachineLearning, SVM",Model,NA,NA,https://bioconductor.org/packages/devel/bioc/html/cytomethic.html,NA,CytoMethIC/models/svm_Capper_CNSTumor66.rda,list,"classification, SVM",3.18,RDA,NA,TRUE,Jacob Fanale,Jacob Fanale fanalej@chop.edu,Rda
XGBoost Model for CNS Tumor Classification,XGBoost model that classifies a methylation sample into CNS tumor labels.,"MachineLearning, XGBoost",Model,NA,NA,https://bioconductor.org/packages/devel/bioc/html/cytomethic.html,NA,CytoMethIC/models/xgb_Capper_CNSTumor66.rda,list,"classification, XGBoost",3.18,RDA,NA,TRUE,Jacob Fanale,Jacob Fanale fanalej@chop.edu,Rda
Multilayer Perceptron Model for CNS Tumor ClassificationCNS Tumor Classification,MLP model that classifies a methylation sample into CNS tumor labels.,"MachineLearning, MLP",Model,NA,NA,https://bioconductor.org/packages/devel/bioc/html/cytomethic.html,NA,CytoMethIC/models/mlp_Capper_CNSTumor66.rda,list,"classification, MLP",3.18,RDA,NA,TRUE,Jacob Fanale,Jacob Fanale fanalej@chop.edu,Rda
Random Forest Model for Race Prediction,Random Forest model that classifies a methylation sample into race based on RS probes,"MachineLearning, RandomForest",Model,NA,NA,https://bioconductor.org/packages/devel/bioc/html/cytomethic.html,NA,CytoMethIC/models/rfc_TCGA_race5.rda,list,"classification, RandomForest",3.18,RDA,NA,TRUE,Jacob Fanale,Jacob Fanale fanalej@chop.edu,Rda
Random Forest Model for Pan-cancer Subtype Prediction, Random Forest model that classifies a methylation sample into a subtype,"MachineLearning, RandomForest",Model,NA,NA,https://bioconductor.org/packages/devel/bioc/html/cytomethic.html,NA,CytoMethIC/models/rfc_TCGA_Subtype91.rda,list,"classification, RandomForest",3.18,RDA,NA,TRUE,Jacob Fanale,Jacob Fanale fanalej@chop.edu,Rda
Random Forest Model for Cell of Origin Prediction, Random Forest model that classifies a methylation sample into a cell of origin,"MachineLearning, RandomForest",Model,NA,NA,https://bioconductor.org/packages/devel/bioc/html/cytomethic.html,NA,CytoMethIC/models/rfc_TCGA_COO21.rda,list,"classification, RandomForest",3.18,RDA,NA,TRUE,Jacob Fanale,Jacob Fanale fanalej@chop.edu,Rda
